Function Index	Solution	Fitness	Solution Index
0	[40. 16. 38. ... 50. 64. 35.]	34.85	0
1	[86. 58. 65. ... 44.  5.  8.]	34.91	0
2	[44. 75. 38. ...  3. 49. 83.]	35.25	0
3	[52. 76. 46. ... 57. 13. 79.]	34.74	0
4	[64. 68. 94. ... 32. 57. 86.]	37.11	0
5	[74. 43. 92. ... 44. 62. 68.]	35.81	0
6	[78. 19.  1. ...  6. 26. 23.]	35.42	0
7	[33. 75. 86. ... 65. 70. 90.]	37.67	0
8	[83.  2. 11. ... 79.  8. 58.]	35.59	0
9	[32. 63. 42. ... 47. 40. 63.]	36.15	0
10	[74. 21. 75. ...  9. 86. 99.]	35.36	0
11	[44. 53. 95. ... 84. 81. 49.]	34.8	0
12	[60. 80. 98. ... 60. 44. 98.]	36.43	0
13	[64. 46. 50. ... 51. 81.  2.]	34.4	0
14	[57. 12. 17. ... 32. 70. 75.]	35.87	0
15	[66. 67. 83. ... 65.  7. 81.]	35.92	0
16	[33. 24. 94. ... 77. 63. 42.]	36.43	0
17	[88. 96.  8. ... 56. 40. 83.]	36.37	0
18	[90. 93. 55. ... 28.  9. 20.]	35.25	0
19	[ 2.  4. 51. ... 52. 41. 36.]	36.94	0
20	[95. 34.  2. ... 32. 46. 96.]	35.64	0
21	[52. 48. 71. ... 21. 29. 35.]	34.97	0
22	[26.  7. 72. ... 66. 41. 39.]	35.98	0
23	[45. 86. 57. ... 56.  6. 22.]	35.75	0
